-150,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I,0.+0.*I
-149,4.300987236286878*^-14-6.309199605147866*^-14*I,3.7185508585174626*^-14-5.804806515851794*^-14*I,3.871325590443127*^-14-5.585470197669259*^-14*I,3.7286403729432134*^-14-5.3630468804296204*^-14*I,3.362171207626482*^-14-5.0611624309926994*^-14*I,3.3841708727235286*^-14-4.942734564957645*^-14*I,3.312580012027966*^-14-4.7233509334566*^-14*I,3.181212802477401*^-14-4.5203609144971417*^-14*I,3.108175698163789*^-14-4.473952597518789*^-14*I,3.1053181577038764*^-14-4.142819540102394*^-14*I,2.8111699637720334*^-14-3.943217967264261*^-14*I,2.734876156272215*^-14-3.8009977034718177*^-14*I,2.584456355860303*^-14-3.585399442038571*^-14*I,2.4734310980926873*^-14-3.415130387144983*^-14*I,2.3648366964927815*^-14-3.248554003896484*^-14*I,2.219444144745363*^-14-2.964074381368992*^-14*I,2.1498334510740247*^-14-2.92890671980366*^-14*I,1.777579295026576*^-14-2.7463452892398524*^-14*I,1.8775938511711876*^-14-2.61137418921122*^-14*I,1.9895562972636008*^-14-2.6800846640286378*^-14*I,1.7480099041445912*^-14-2.3501764436286127*^-14*I,1.6574928749367573*^-14-2.2186624523721442*^-14*I,1.5714065604816927*^-14-2.093125267312335*^-14*I,1.4891400366172143*^-14-1.972935923893388*^-14*I,1.41144681789458*^-14-1.859012203978655*^-14*I,1.3370483289280689*^-14-1.748428544264038*^-14*I,1.2641183194661745*^-14-1.6435962487266285*^-14*I,1.154479303703134*^-14-1.515949878323677*^-14*I,1.1621373598787692*^-14-1.5200017884476742*^-14*I,1.0597185175086083*^-14-1.3535449962327377*^-14*I,1.0456133526112355*^-14-1.283286794375515*^-14*I,9.985519725492254*^-15-1.1985981734993525*^-14*I,8.721298136056537*^-15-1.1001678735613184*^-14*I,8.01459619782183*^-15-1.0223650391381365*^-14*I,7.614080346488626*^-15-9.526510216528572*^-15*I,7.109385500940752*^-15-8.848902158395577*^-15*I,6.448758983007847*^-15-8.32164777739473*^-15*I,6.679551280146618*^-15-7.136078448531882*^-15*I,5.795800339012003*^-15-7.050355121723432*^-15*I
-148,1.0061825239720496*^-13-7.254429483138688*^-14*I,9.699284389233042*^-14-6.937982945337739*^-14*I,9.414395569535228*^-14-6.73286102397695*^-14*I,9.098590785209527*^-14-6.492340035663827*^-14*I,8.690467881253622*^-14-6.251587415232275*^-14*I,8.52761319631602*^-14-5.977588581781475*^-14*I,8.164816323732596*^-14-5.79103635137407*^-14*I,7.859879677366377*^-14-5.5629867969492215*^-14*I,7.560098807528815*^-14-5.3721858569865725*^-14*I,7.353142106520344*^-14-5.22361460471255*^-14*I,6.969849811325488*^-14-4.8959465447488646*^-14*I,6.758723571164762*^-14-4.609697284152609*^-14*I,6.407422954509634*^-14-4.4737159997699405*^-14*I,6.136992088996831*^-14-4.271943795931802*^-14*I,5.874556083098478*^-14-4.0763102301167825*^-14*I,5.6227304839392984*^-14-3.968381518506248*^-14*I,5.3700386914307404*^-14-3.706024919712132*^-14*I,5.135356131365948*^-14-3.441322683025813*^-14*I,4.9175733277354056*^-14-3.2754536907051356*^-14*I,4.664878471752389*^-14-3.263537477062644*^-14*I,4.4351713445619185*^-14-3.032279994697228*^-14*I,4.2157242890843604*^-14-2.874549829721948*^-14*I,4.00193219313442*^-14-2.7215272123103356*^-14*I,3.795429416728893*^-14-2.572721568401359*^-14*I,3.595659361898111*^-14-2.4288422895904335*^-14*I,3.4038025366105577*^-14-2.2906669440011638*^-14*I,3.2195996548181456*^-14-2.158471086565979*^-14*I,3.0122944593550187*^-14-2.025834861341222*^-14*I,2.875050874037301*^-14-1.9171459223793583*^-14*I,2.713287741183966*^-14-1.7993145463844945*^-14*I,2.5884898323097684*^-14-1.649433057379121*^-14*I,2.370580742739179*^-14-1.56930347884151*^-14*I,2.2662242513410022*^-14-1.4895206200704336*^-14*I,1.9516811818623376*^-14-1.3061483732829061*^-14*I,1.996056978004897*^-14-1.3043444844753925*^-14*I,1.8687505975575047*^-14-1.2171937959243935*^-14*I,1.7158584653569003*^-14-1.1295339142932631*^-14*I,1.6371484683128766*^-14-1.0386708187395003*^-14*I,1.5220128928371776*^-14-9.785493578325121*^-15*I
-147,6.239958965182791*^-14-5.447200902310238*^-14*I,6.157326020549542*^-14-4.9806606995527654*^-14*I,6.022999588214334*^-14-4.992033052740516*^-14*I,5.877157483195461*^-14-4.849192770113768*^-14*I,5.680197274164087*^-14-4.31116598174792*^-14*I,5.669628278454855*^-14-4.742151404439952*^-14*I,5.4368490168231814*^-14-4.416626206988731*^-14*I,5.288995813557704*^-14-4.276485093568817*^-14*I,5.022731601916988*^-14-4.219896738032055*^-14*I,4.706375853081398*^-14-4.2971450628684866*^-14*I,4.848189587560494*^-14-3.8585598091622483*^-14*I,4.919573552454668*^-14-4.0174095153303273*^-14*I,4.553792730400331*^-14-3.5894224399915884*^-14*I,4.40432295821267*^-14-3.457408117867834*^-14*I,4.25717333058095*^-14-3.3293409152425144*^-14*I,3.861831887970344*^-14-3.1107455736229333*^-14*I,3.962790679779523*^-14-3.0739371314658834*^-14*I,3.9596470139135394*^-14-2.9163474714768374*^-14*I,3.90151541536519*^-14-2.919812296569095*^-14*I,3.332151042312272*^-14-2.842470307741542*^-14*I,3.397242526116617*^-14-2.5900573387148922*^-14*I,3.264587585881879*^-14-2.4764721685870954*^-14*I,3.132621669925104*^-14-2.3642401830628548*^-14*I,3.003585128703258*^-14-2.257617677883577*^-14*I,2.87781996808471*^-14-2.1531302189936094*^-14*I,2.754049280879469*^-14-2.0517984899929738*^-14*I,2.6315525010145647*^-14-1.9525987342927182*^-14*I,2.5322383444772116*^-14-1.7279695172273292*^-14*I,2.3718294961336043*^-14-1.8181147603289294*^-14*I,2.2786266987413718*^-14-1.673389999632558*^-14*I,2.317233448314845*^-14-1.730758465386541*^-14*I,2.1635470510338348*^-14-1.4195228112356335*^-14*I,1.95502580809677*^-14-1.419615826747613*^-14*I,1.2535376662268378*^-14-3.356136339026927*^-15*I,1.7575390386390098*^-14-1.266101611161528*^-14*I,1.6646535520037382*^-14-1.192468430227303*^-14*I,1.584442813491212*^-14-1.021653351885153*^-14*I,1.5893724531157542*^-14-1.0733999617017485*^-14*I,1.4040942856201671*^-14-9.93289265325951*^-15*I
-146,9.655241259159215*^-15-1.0065052814991406*^-13*I,1.1116289928122487*^-14-9.975374633453*^-14*I,1.1160009460082155*^-14-9.655404217364397*^-14*I,1.1890024797418417*^-14-9.404925282016608*^-14*I,1.3218325176327314*^-14-9.183433413037275*^-14*I,1.3089772298207859*^-14-8.951017245024678*^-14*I,1.3594648647592765*^-14-8.637978949171764*^-14*I,1.4027643237967517*^-14-8.381387331320166*^-14*I,1.455814883394928*^-14-8.069605996273558*^-14*I,1.3607656000182882*^-14-7.794359460275489*^-14*I,1.5098764441449524*^-14-7.625471676309865*^-14*I,1.5224156626438676*^-14-7.427912308991121*^-14*I,1.5654513491245026*^-14-7.138295817189562*^-14*I,1.5875831554401246*^-14-6.898896213914826*^-14*I,1.604307313579172*^-14-6.662021234253079*^-14*I,1.5646722938994112*^-14-6.41050859315747*^-14*I,1.6204258568217207*^-14-6.193424676238218*^-14*I,1.6820937555080224*^-14-6.102539767801038*^-14*I,1.630048432155995*^-14-5.815422073656958*^-14*I,1.607591256440547*^-14-5.382920867454232*^-14*I,1.5875804084552796*^-14-5.283429043694053*^-14*I,1.5703579404667385*^-14-5.065897112345101*^-14*I,1.5513572540487894*^-14-4.8533353634777846*^-14*I,1.531125406625459*^-14-4.646933329676856*^-14*I,1.510155007042603*^-14-4.4461948884153495*^-14*I,1.4878860318595012*^-14-4.251723550293919*^-14*I,1.464883049095281*^-14-4.0627894797101674*^-14*I,1.461251103373259*^-14-3.896309781005317*^-14*I,1.4300288313036843*^-14-3.668967789515282*^-14*I,1.3822913276559643*^-14-3.524644904243357*^-14*I,1.331116999567307*^-14-3.364478745130767*^-14*I,1.3391488289464814*^-14-3.165841743627002*^-14*I,1.2756916777476587*^-14-3.0243029297443604*^-14*I,1.7931164472020483*^-14-2.1780590200008618*^-14*I,1.195612373099945*^-14-2.7137916954343644*^-14*I,1.155392329317584*^-14-2.566999468798519*^-14*I,1.1513697865079112*^-14-2.429387807037073*^-14*I,1.041357752067125*^-14-2.2939708096085657*^-14*I,1.0393743426075521*^-14-2.163433237839853*^-14*I
-145,6.074203463735571*^-14-1.8643600985824617*^-13*I,5.416191386823987*^-14-1.7833313943778635*^-13*I,5.790538580297361*^-14-1.7383580162343416*^-13*I,5.731157506530096*^-14-1.6943668308339724*^-13*I,5.437533912465275*^-14-1.6415149329129573*^-13*I,5.409774174636656*^-14-1.6074886465111276*^-13*I,5.526338624715001*^-14-1.5625472128059655*^-13*I,5.448639248474987*^-14-1.5184102607010734*^-13*I,5.4506995422017124*^-14-1.494916289737277*^-13*I,5.553829916482128*^-14-1.4160550921977608*^-13*I,5.187495256045222*^-14-1.3852169768870446*^-13*I,5.013566377155573*^-14-1.3490076879367187*^-13*I,4.99762912717646*^-14-1.2967675498405077*^-13*I,4.897603813011832*^-14-1.2532340169659473*^-13*I,4.796040625955232*^-14-1.2101744156397463*^-13*I,4.7227754292000946*^-14-1.1385225119406826*^-13*I,4.5870084994912316*^-14-1.1261701411318956*^-13*I,3.940685196784853*^-14-1.0833746141703932*^-13*I,4.15331217365956*^-14-1.0473952711890625*^-13*I,4.537017496996055*^-14-1.0342366545556149*^-13*I,4.148541578811557*^-14-9.670041478580232*^-14*I,4.035238841919088*^-14-9.287266767791149*^-14*I,3.9218135956540205*^-14-8.910109404090016*^-14*I,3.8059095367297585*^-14-8.538424117083887*^-14*I,3.691199181512699*^-14-8.175697669392621*^-14*I,3.576888937482327*^-14-7.817879974063482*^-14*I,3.461355391615509*^-14-7.470329001227834*^-14*I,3.3053974420256206*^-14-7.113120015320418*^-14*I,3.28913977742701*^-14-6.944525382922415*^-14*I,3.123978027805478*^-14-6.484744397336036*^-14*I,3.029122992015162*^-14-6.234654660205997*^-14*I,3.043245564477016*^-14-5.997633709273865*^-14*I,2.7956629016459096*^-14-5.592439846752876*^-14*I,2.4257399006754606*^-14-5.247684528511287*^-14*I,2.5831186867005955*^-14-5.0447518917760835*^-14*I,2.479075869978185*^-14-4.782967921753891*^-14*I,2.361814974873401*^-14-4.593731349575141*^-14*I,2.364099378501542*^-14-4.204308331309544*^-14*I,2.1764078829231125*^-14-4.043790446405673*^-14*I
-144,1.0741490787109149*^-13-1.874398682808664*^-13*I,1.0434397620219212*^-13-1.8186702131443929*^-13*I,1.0401657930241864*^-13-1.7899588498152498*^-13*I,1.0236038262240733*^-13-1.7515985568851145*^-13*I,9.829453266255551*^-14-1.7103150079310433*^-13*I,9.98629675730612*^-14-1.6629772580644267*^-13*I,9.704919115774151*^-14-1.6332380240520598*^-13*I,9.5219016600095*^-14-1.5932273024261284*^-13*I,9.344830227437596*^-14-1.5635980446830059*^-13*I,9.398198568036728*^-14-1.5382617115616869*^-13*I,8.953911993767083*^-14-1.4724080185879055*^-13*I,8.928966153156463*^-14-1.4158590315106325*^-13*I,8.559130312674515*^-14-1.3917230001115024*^-13*I,8.355635251176913*^-14-1.3514380564270066*^-13*I,8.149344734638843*^-14-1.3110098522546327*^-13*I,7.953703941162663*^-14-1.2880705950444266*^-13*I,7.725003304737827*^-14-1.230442591571107*^-13*I,7.475768922655053*^-14-1.1648354765648227*^-13*I,7.34219650261927*^-14-1.1282433067874157*^-13*I,7.109601770373862*^-14-1.1342080441561202*^-13*I,6.872454059489082*^-14-1.0726259756893325*^-13*I,6.663935038816105*^-14-1.0344055026056437*^-13*I,6.456857937051124*^-14-9.969430839149459*^-14*I,6.252982999076661*^-14-9.600771935143708*^-14*I,6.049761590677716*^-14-9.237972845092629*^-14*I,5.847657805098633*^-14-8.881528798108933*^-14*I,5.646053132917981*^-14-8.531466606579163*^-14*I,5.3539102267135044*^-14-8.156071974042166*^-14*I,5.2418116488798264*^-14-7.880351148320752*^-14*I,5.0488152338375864*^-14-7.517209674394229*^-14*I,4.953778542207238*^-14-7.085269889098283*^-14*I,4.551217484914528*^-14-6.830381992693263*^-14*I,4.474091469682648*^-14-6.56590888820284*^-14*I,5.753849112606945*^-14-6.588157103721225*^-14*I,4.112716595574535*^-14-5.973107357011816*^-14*I,3.938688084704908*^-14-5.690202726559101*^-14*I,3.657400829111917*^-14-5.4005597049879876*^-14*I,3.652349622761479*^-14-5.103661850310265*^-14*I,3.4459230851987024*^-14-4.894924045007722*^-14*I
-143,2.568711819498955*^-14-1.7102064818063667*^-13*I,3.135966934134441*^-14-1.632110426058327*^-13*I,3.1433761591382966*^-14-1.6486197183906275*^-13*I,3.259554384510356*^-14-1.6257584738341411*^-13*I,3.4584381970267046*^-14-1.5391843010704899*^-13*I,3.596723864465791*^-14-1.595417956670162*^-13*I,3.538706554665315*^-14-1.5489645330419297*^-13*I,3.60683356095603*^-14-1.5213938112095083*^-13*I,3.375547742745623*^-14-1.499994730583335*^-13*I,3.207157409404357*^-14-1.5169806878583296*^-13*I,3.761679972346792*^-14-1.4335824860342833*^-13*I,4.056977000964519*^-14-1.4460782365700173*^-13*I,3.8295992433730973*^-14-1.3734091874874163*^-13*I,3.8517632787794125*^-14-1.3429573164746423*^-13*I,3.870416990420757*^-14-1.3126929878736595*^-13*I,3.6181119318652566*^-14-1.273039059481557*^-13*I,3.8841731040205974*^-14-1.2506297870800933*^-13*I,4.300459136036521*^-14-1.1969681806763334*^-13*I,4.2694684383038804*^-14-1.1973257044347843*^-13*I,3.2870990659171864*^-14-1.1725857948920991*^-13*I,3.8134165879924015*^-14-1.1220166356457291*^-13*I,3.7788883744636026*^-14-1.0892916045253182*^-13*I,3.735892346608515*^-14-1.0563173976941628*^-13*I,3.688763342939263*^-14-1.023844923707755*^-13*I,3.638661446501703*^-14-9.916125143603124*^-14*I,3.586567743817158*^-14-9.599152846835923*^-14*I,3.5310468503730205*^-14-9.285223562041046*^-14*I,3.569482726424485*^-14-8.754605969594025*^-14*I,3.2865990740161106*^-14-8.725506006352138*^-14*I,3.3497997426657336*^-14-8.374092030093575*^-14*I,3.472515421166016*^-14-8.363329104625008*^-14*I,3.3259803050835483*^-14-7.66599388211467*^-14*I,3.138347941242225*^-14-7.488264020897811*^-14*I,1.9982898009292872*^-14-7.709592519227598*^-14*I,2.977944921446229*^-14-6.911588427567438*^-14*I,2.8952361691068435*^-14-6.627679876474205*^-14*I,2.84411343098952*^-14-6.124850161827351*^-14*I,2.89826098065595*^-14-6.223050112983048*^-14*I,2.641231422442582*^-14-5.82037235122108*^-14*I
-142,-4.6994858840435426*^-14-2.3636765270046146*^-13*I,-4.310598461504246*^-14-2.3775008466018896*^-13*I,-4.1252767316648226*^-14-2.328540692256754*^-13*I,-3.794847896781628*^-14-2.299637201497098*^-13*I,-3.3719010620957543*^-14-2.2784527342692647*^-13*I,-3.144190779287265*^-14-2.2538609982336504*^-13*I,-2.8571698401233724*^-14-2.2050411440745443*^-13*I,-2.5639313104755827*^-14-2.1709620107156274*^-13*I,-2.2106537077778626*^-14-2.122837608526813*^-13*I,-2.2942579478543915*^-14-2.0794555840520777*^-13*I,-1.7416161124879464*^-14-2.0610617906018588*^-13*I,-1.4815067662043293*^-14-2.0348163431747105*^-13*I,-1.2460256300543275*^-14-1.981887516821511*^-13*I,-1.0141126089137111*^-14-1.9409644372028422*^-13*I,-7.940320477847823*^-15-1.8993749994432373*^-13*I,-7.86642512655529*^-15-1.85307574255479*^-13*I,-3.878705233794741*^-15-1.8146841529196512*^-13*I,-5.167662260892369*^-16-1.8163142805009292*^-13*I,4.1797535606888344*^-16-1.7528008311978857*^-13*I,2.173632321241204*^-15-1.652062978214655*^-13*I,2.9891185003594865*^-15-1.6422908808331132*^-13*I,4.459286430438933*^-15-1.5987843481947294*^-13*I,5.833470094180883*^-15-1.5550468894469*^-13*I,7.111627473110232*^-15-1.5112355556569755*^-13*I,8.301404552402042*^-15-1.4671731710497421*^-13*I,9.380564110264153*^-15-1.4230766275484248*^-13*I,1.037499960421813*^-14-1.3790994154686223*^-13*I,1.1730380478507397*^-14-1.3400736173800236*^-13*I,1.296125531306831*^-14-1.28318787774796*^-13*I,1.2806676567906956*^-14-1.2488362198977587*^-13*I,1.3242049238766184*^-14-1.2093328704165616*^-13*I,1.517959509280199*^-14-1.154570324132633*^-13*I,1.4518827634561265*^-14-1.1236515223744879*^-13*I,1.9622026247157276*^-14-1.0404532645319816*^-13*I,1.531112905714183*^-14-1.0432799430307403*^-13*I,1.560858704074982*^-14-1.0039480105278368*^-13*I,1.7073329511734253*^-14-9.658179064688472*^-14*I,1.4807926147026886*^-14-9.243623516263274*^-14*I,1.6138083218491524*^-14-8.894037455166714*^-14*I
-141,-1.6777150579926678*^-15-3.1773497759758037*^-13*I,-6.653499492504572*^-15-3.1149458855244676*^-13*I,3.884450821455892*^-16-3.075268852475151*^-13*I,2.340312019478926*^-15-3.0407741670160896*^-13*I,2.6026833805726776*^-15-3.004540447483796*^-13*I,2.5953714868182415*^-15-2.964000145858571*^-13*I,7.821343471487752*^-15-2.9250289423331806*^-13*I,9.52739389474542*^-15-2.88282029354813*^-13*I,1.2554771412368001*^-14-2.860714844001892*^-13*I,1.6704938834183225*^-14-2.7526602085035543*^-13*I,1.4321265646348596*^-14-2.7482527890436555*^-13*I,1.2817222788516139*^-14-2.7084655462518537*^-13*I,1.7207027568420707*^-14-2.6521616595966985*^-13*I,1.850459853468504*^-14-2.602239791633728*^-13*I,1.9700922427845413*^-14-2.550858547890985*^-13*I,2.2634151078764433*^-14-2.4498319914047994*^-13*I,2.1801545279099347*^-14-2.4443660955871975*^-13*I,1.3889523314877827*^-14-2.394062749695748*^-13*I,1.8798549413480896*^-14-2.3422691407601175*^-13*I,2.9067477359032474*^-14-2.308725854035164*^-13*I,2.4960480970307576*^-14-2.2221127897186558*^-13*I,2.5584138412632*^-14-2.1657175276501561*^-13*I,2.6177135744859077*^-14-2.1092924484956515*^-13*I,2.6684286455187375*^-14-2.052780840069466*^-13*I,2.715331741532356*^-14-1.9967190060594447*^-13*I,2.756201643429627*^-14-1.9403384423167199*^-13*I,2.787641253799879*^-14-1.8842438427003235*^-13*I,2.7739337390072782*^-14-1.8327690307608644*^-13*I,2.9121056410606897*^-14-1.792999789993142*^-13*I,2.8392999887055243*^-14-1.7161119400275164*^-13*I,2.729938042121126*^-14-1.6668584186600532*^-13*I,3.043406341491608*^-14-1.636007289963339*^-13*I,2.8225964395486123*^-14-1.5501029089483698*^-13*I,2.3084265393854676*^-14-1.4283596108408542*^-13*I,2.7879551041230837*^-14-1.4426688368503468*^-13*I,2.7669747956257585*^-14-1.390356543301361*^-13*I,2.747310113293908*^-14-1.3594134773216212*^-13*I,2.8162544332516288*^-14-1.275693395336571*^-13*I,2.687090569326312*^-14-1.2391013913262123*^-13*I
