,kx,ky,kz,vb3,vb2,vb1,cb
294,0.4,0.16,0.08,-2.15542,0.39715,0.899919,12.541763
295,0.44,0.16,0.08,-2.522397,0.29496,0.8174,12.723305
296,0.48,0.16,0.08,-2.81552,0.217774,0.749875,12.814854
297,-0.48,0.16,0.08,-3.021668,0.165879,0.701991,12.85257
298,-0.44,0.16,0.08,-3.128159,0.139512,0.676113,12.864851
299,0.28,0.2,0.08,-0.896263,0.787131,1.050191,11.572888
300,0.32,0.2,0.08,-1.275342,0.606489,0.975728,12.042732
301,0.36,0.2,0.08,-1.66003,0.431903,0.88767,12.478932
302,0.4,0.2,0.08,-2.026953,0.272107,0.799597,12.831419
303,0.44,0.2,0.08,-2.357706,0.130888,0.718593,13.06552
304,0.48,0.2,0.08,-2.632743,0.011004,0.653078,13.19512
305,-0.48,0.2,0.08,-2.836088,-0.083569,0.608377,13.257902
306,-0.44,0.2,0.08,-2.956034,-0.149715,0.588226,13.287244
307,-0.4,0.2,0.08,-2.982915,-0.183215,0.594621,13.301385
308,-0.36,0.2,0.08,-2.916821,-0.183356,0.624752,13.301746
309,-0.32,0.2,0.08,-2.762118,-0.14655,0.678431,13.276221
310,-0.28,0.2,0.08,-2.53051,-0.070681,0.751045,13.198059
311,-0.24,0.2,0.08,-2.237264,0.043433,0.834818,13.025381
312,-0.2,0.2,0.08,-1.900572,0.196505,0.927108,12.730966
313,-0.16,0.2,0.08,-1.543242,0.382581,1.016881,12.322424
314,-0.12,0.2,0.08,-1.182784,0.59511,1.09777,11.849804
315,0.32,0.24,0.08,-1.353292,0.581621,0.848451,12.284353
316,0.36,0.24,0.08,-1.66556,0.390152,0.768524,12.731732
317,0.4,0.24,0.08,-1.967359,0.196396,0.680625,13.126467
318,0.44,0.24,0.08,-2.241805,0.010319,0.600507,13.411975
319,0.48,0.24,0.08,-2.472943,-0.162041,0.537234,13.579871
320,-0.48,0.24,0.08,-2.647396,-0.313711,0.497143,13.670255
321,-0.44,0.24,0.08,-2.757388,-0.435578,0.481392,13.723351
322,-0.4,0.24,0.08,-2.793346,-0.518274,0.493248,13.761218
323,-0.36,0.24,0.08,-2.755206,-0.55457,0.529009,13.784778
324,-0.32,0.24,0.08,-2.648204,-0.538401,0.587146,13.781201
325,-0.28,0.24,0.08,-2.484017,-0.464295,0.662796,13.717615
326,-0.24,0.24,0.08,-2.277055,-0.329401,0.750869,13.548038
327,-0.2,0.24,0.08,-2.042809,-0.135082,0.845105,13.23871
328,-0.16,0.24,0.08,-1.795375,0.107589,0.935221,12.810711
329,0.36,0.28,0.08,-1.75547,0.385892,0.641428,12.980345
330,0.4,0.28,0.08,-1.993592,0.183425,0.557598,13.392454
331,0.44,0.28,0.08,-2.205844,-0.034275,0.476432,13.71863
332,0.48,0.28,0.08,-2.376545,-0.258351,0.414498,13.911251
333,-0.48,0.28,0.08,-2.498948,-0.476049,0.377014,14.015674
334,-0.44,0.28,0.08,-2.568741,-0.671028,0.365018,14.092384
335,-0.4,0.28,0.08,-2.583825,-0.824277,0.380551,14.163887
336,-0.36,0.28,0.08,-2.547873,-0.917417,0.421562,14.226101
337,-0.32,0.28,0.08,-2.475681,-0.934542,0.483637,14.256613
338,-0.28,0.28,0.08,-2.381122,-0.860169,0.564081,14.216002
339,-0.24,0.28,0.08,-2.277589,-0.691767,0.655503,14.043102
340,-0.2,0.28,0.08,-2.167297,-0.442177,0.750019,13.701651
341,0.4,0.32,0.08,-2.09158,0.20563,0.441253,13.608088
342,0.44,0.32,0.08,-2.25304,-0.003787,0.358628,13.954491
343,0.48,0.32,0.08,-2.370798,-0.250368,0.29428,14.129711
344,-0.48,0.32,0.08,-2.436884,-0.520211,0.257097,14.211013
345,-0.44,0.32,0.08,-2.447848,-0.791578,0.248071,14.29828
346,-0.4,0.32,0.08,-2.40496,-1.039054,0.266698,14.405903
347,-0.36,0.32,0.08,-2.325647,-1.22841,0.311314,14.519126
348,-0.32,0.32,0.08,-2.250357,-1.310122,0.378049,14.602773
349,-0.28,0.32,0.08,-2.228043,-1.233772,0.460637,14.594605
350,-0.24,0.32,0.08,-2.25168,-1.008946,0.555989,14.417253
