-271.7,0.+0.*I
-271.59999999999997,4.696830133012747*^-8-5.696353588691473*^-7*I
-271.5,-4.1140634077456326*^-8-1.1461358675956782*^-6*I
-271.4,-2.623778884562357*^-7-1.697537324982168*^-6*I
-271.3,-6.074029519716356*^-7-2.193210860257524*^-6*I
-271.2,-1.0599978078211925*^-6-2.605547311007756*^-6*I
-271.09999999999997,-1.5979590829521*^-6-2.9114756037563607*^-6*I
-271.,-2.194319221696373*^-6-3.093731669820479*^-6*I
-270.9,-2.8188295528029958*^-6-3.1418081424628224*^-6*I
-270.8,-3.4396237237125727*^-6-3.052532629235318*^-6*I
-270.7,-4.0249700609054475*^-6-2.8302427711273436*^-6*I
-270.59999999999997,-4.545016526767721*^-6-2.4865484652774763*^-6*I
-270.5,-4.973432350392624*^-6-2.0396943221894415*^-6*I
-270.4,-5.288856089714642*^-6-1.5135574040102176*^-6*I
-270.3,-5.476070523087731*^-6-9.363353395271681*^-7*I
-270.2,-5.526839784977792*^-6-3.389969319170011*^-7*I
-270.09999999999997,-5.440362727308692*^-6+2.464195686046382*^-7*I
-270.,-5.223317584596899*^-6+7.885669810473893*^-7*I
-269.9,-4.88949548757474*^-6+1.2585117209307936*^-6*I
-269.8,-4.459042971532829*^-6+1.631323648980193*^-6*I
-269.7,-3.957355119707684*^-6+1.8874458451731203*^-6*I
-269.59999999999997,-3.4136801870723945*^-6+2.013769009839168*^-6*I
-269.5,-2.859512410199325*^-6+2.004351430581965*^-6*I
-269.4,-2.326861352557149*^-6+1.8607449374807546*^-6*I
-269.3,-1.846492921611737*^-6+1.5919089283930836*^-6*I
-269.2,-1.4462387513305346*^-6+1.2137171904989283*^-6*I
-269.09999999999997,-1.1494668855715046*^-6+7.480846287543501*^-7*I
-269.,-9.73797830898388*^-7+2.217619061433226*^-7*I
-268.9,-9.301365590915261*^-7-3.351357440614678*^-7*I
-268.8,-1.0220736714545912*^-6-8.907846608947074*^-7*I
-268.7,-1.2456886437004676*^-6-1.4134028128202493*^-6*I
-268.59999999999997,-1.5897659673049523*^-6-1.8729975664241091*^-6*I
-268.5,-2.0364123057557518*^-6-2.2430150895386778*^-6*I
-268.4,-2.562040739801351*^-6-2.5018007189307386*^-6*I
-268.3,-3.1386679964439076*^-6-2.6337900142185274*^-6*I
-268.2,-3.735453351289529*^-6-2.63036502421953*^-6*I
-268.09999999999997,-4.3203946087649056*^-6-2.4903286956300766*^-6*I
-268.,-4.8620879299351855*^-6-2.2199713451784115*^-6*I
-267.9,-5.331454767872042*^-6-1.8327255411802097*^-6*I
-267.8,-5.703340978650633*^-6-1.348428366119564*^-6*I
-267.7,-5.957900202748429*^-6-7.922316146419861*^-7*I
-267.59999999999997,-6.081685470544617*^-6-1.9321983482653672*^-7*I
-267.5,-6.06838902492029*^-6+4.171878191816341*^-7*I
-267.4,-5.9191887716453155*^-6+1.0069818090188895*^-6*I
-267.3,-5.642670350585429*^-6+1.5453735625429361*^-6*I
-267.2,-5.254358944403049*^-6+2.004339549799498*^-6*I
-267.09999999999997,-4.7758783028981986*^-6+2.3602249346829287*^-6*I
-267.,-4.23376337545328*^-6+2.5950554400912213*^-6*I
-266.9,-3.6580026451588667*^-6+2.6975247523908837*^-6*I
-266.8,-3.0803906176470675*^-6+2.663615379147388*^-6*I
-266.7,-2.5327810304795406*^-6+2.496818830756459*^-6*I
-266.59999999999997,-2.045336806484572*^-6+2.2079430222930828*^-6*I
-266.5,-1.644872953403724*^-6+1.8145174829599923*^-6*I
-266.4,-1.3533835028423962*^-6+1.3398290695508028*^-6*I
-266.3,-1.1868334646304052*^-6+8.116411920344923*^-7*I
-266.2,-1.154282204448059*^-6+2.606669571111677*^-7*I
-266.09999999999997,-1.2573864338135648*^-6-2.811198369459126*^-7*I
-266.,-1.4903101337168986*^-6-7.822430073225794*^-7*I
-265.9,-1.8400463635250587*^-6-1.2134549391248834*^-6*I
-265.8,-2.287133264891055*^-6-1.5493450305161012*^-6*I
-265.7,-2.8067249009972075*^-6-1.7697372122034934*^-6*I
-265.59999999999997,-3.369958065681766*^-6-1.8607997177627409*^-6*I
-265.5,-3.945539927154381*^-6-1.8158060992867059*^-6*I
-265.4,-4.501469231434674*^-6-1.6355056543091594*^-6*I
-265.3,-5.006792140334485*^-6-1.3280860646164847*^-6*I
-265.2,-5.433257634799996*^-6-9.087673885255473*^-7*I
-265.09999999999997,-5.756973101955325*^-6-3.989016457939757*^-7*I
-265.,-5.959689939909024*^-6+1.7519624164193859*^-7*I
-264.9,-6.02978708224475*^-6+7.836819466579228*^-7*I
-264.8,-5.962910633084126*^-6+1.394821920110479*^-6*I
-264.7,-5.7622140162132334*^-6+1.9767374270359883*^-6*I
-264.59999999999997,-5.438185436957173*^-6+2.4991565638979085*^-6*I
-264.5,-5.008072141450816*^-6+2.9350779462035906*^-6*I
-264.4,-4.494933122531456*^-6+3.2622546113729353*^-6*I
-264.3,-3.926372346262758*^-6+3.464416564772249*^-6*I
-264.2,-3.3330221352868304*^-6+3.532164763951981*^-6*I
-264.09999999999997,-2.7468600794329495*^-6+3.4634873975840185*^-6*I
-264.,-2.199451995211365*^-6+3.263870078580038*^-6*I
-263.9,-1.7202175210324405*^-6+2.9459938939140722*^-6*I
-263.8,-1.3348136906615294*^-6+2.5290379097684957*^-6*I
-263.7,-1.0637253420062413*^-6+2.037624474191462*^-6*I
-263.59999999999997,-9.211398483277471*^-7+1.5004652953866657*^-6*I
-263.5,-9.141680293759143*^-7+9.48782722487099*^-7*I
-263.4,-1.0424540699948073*^-6+4.145930130855558*^-7*I
